Name,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Nathan MacKinnon,28,1,68,42,74,116,34,28,1371,1092,274,3,32,10,0,9,2,42,32,0,13,3,74,42,0,22,5,36.2,1.621,2.856,4.477,1.550,2.035,3.585,1.926,6.165,8.091,0.618,1.088,1.706,330,12.7,49,56,506,582,46.51
Nikita Kucherov,30,1,66,40,74,114,22,2,1309,1072,237,0,28,12,0,6,1,43,31,0,13,1,71,43,0,19,2,37.7,1.666,3.082,4.748,1.424,2.188,3.612,2.761,7.133,9.895,0.606,1.121,1.727,259,15.4,38,28,2,2,50.00
Connor McDavid,26,1,63,25,81,106,30,29,1293,1072,194,26,18,6,1,4,1,53,28,0,14,2,71,34,1,18,3,32.1,1.104,3.578,4.682,0.959,2.824,3.783,1.759,8.208,9.967,0.397,1.286,1.683,213,11.7,98,32,378,354,51.64
David Pastrnak,27,1,69,41,55,96,45,19,1194,961,230,2,29,12,0,4,0,34,21,0,10,2,63,33,0,14,2,34.4,1.791,2.402,4.192,1.574,1.845,3.419,2.717,4.755,7.473,0.594,0.797,1.391,331,12.4,56,18,5,13,27.78
Artemi Panarin,32,1,67,38,55,93,22,11,1203,977,225,0,28,10,0,4,1,28,26,1,11,2,56,36,1,15,3,38.7,1.697,2.456,4.152,1.539,1.539,3.078,2.383,6.197,8.580,0.567,0.821,1.388,238,16.0,16,14,1,9,10.00
Mikko Rantanen,27,1,68,34,56,90,46,12,1387,1102,283,1,22,12,0,7,0,31,25,0,9,2,53,37,0,16,2,41.1,1.297,2.136,3.433,1.056,1.488,2.544,2.243,4.673,6.916,0.500,0.824,1.324,228,14.9,47,41,230,204,53.00
William Nylander,27,1,66,36,51,87,20,-1,1193,940,195,57,24,9,3,7,2,28,22,1,9,2,52,31,4,16,4,35.6,1.645,2.330,3.975,1.392,1.623,3.015,2.511,6.139,8.650,0.545,0.773,1.318,263,13.7,25,23,42,48,46.67
J.T. Miller,30,1,68,33,54,87,47,30,1176,882,223,70,22,9,2,8,2,30,24,0,8,2,52,33,2,16,4,37.9,1.485,2.429,3.914,1.320,1.800,3.119,2.129,5.677,7.806,0.485,0.794,1.279,156,21.2,186,50,678,548,55.30
Leon Draisaitl,28,1,65,33,53,86,64,20,1250,1015,197,37,17,16,0,6,1,35,16,2,12,2,52,32,2,18,3,37.2,1.462,2.347,3.809,0.927,1.908,2.835,4.493,4.493,8.987,0.508,0.815,1.323,181,18.2,43,20,677,498,57.62
Auston Matthews,26,1,65,55,27,82,4,22,1264,1020,196,47,40,15,0,8,3,17,9,1,3,0,57,24,1,11,3,29.3,2.409,1.183,3.592,2.170,0.922,3.093,4.230,2.538,6.768,0.846,0.415,1.262,276,19.9,75,76,581,505,53.50
Sam Reinhart,28,1,68,48,31,79,25,19,1214,866,222,125,16,27,5,9,2,26,5,0,7,0,42,32,5,16,2,40.5,2.092,1.351,3.443,0.978,1.589,2.566,6.427,1.190,7.617,0.706,0.456,1.162,186,25.8,54,57,202,255,44.20
Elias Pettersson,25,1,68,31,48,79,10,16,1173,863,225,84,20,11,0,9,2,29,17,2,2,0,49,28,2,11,2,35.4,1.398,2.165,3.563,1.226,1.777,3.003,2.580,3.988,6.568,0.456,0.706,1.162,180,17.2,102,57,318,316,50.16
Quinn Hughes,24,0,68,13,64,77,30,36,1485,1210,233,41,11,2,0,2,1,37,27,0,10,3,48,29,0,12,4,37.7,0.463,2.280,2.743,0.481,1.618,2.099,0.453,6.109,6.561,0.191,0.941,1.132,164,7.9,23,42,0,0,0.00
Kirill Kaprizov,26,1,61,35,41,76,28,12,1271,1017,250,3,23,12,0,7,2,20,21,0,5,1,43,33,0,12,3,43.4,1.625,1.904,3.529,1.334,1.160,2.495,2.824,4.941,7.765,0.574,0.672,1.246,216,16.2,47,34,0,1,0.00
Mitchell Marner,26,1,62,25,51,76,16,20,1279,966,189,123,17,7,1,2,0,34,17,0,6,3,51,24,1,8,3,31.6,1.134,2.314,3.448,1.021,2.042,3.063,2.144,5.207,7.351,0.403,0.823,1.226,145,17.2,53,46,2,10,16.67
Matthew Tkachuk,26,1,67,22,54,76,76,12,1122,866,240,15,16,5,1,1,0,28,26,0,12,2,44,31,1,13,2,40.8,1.053,2.584,3.637,0.992,1.736,2.727,1.116,5.804,6.920,0.328,0.806,1.134,237,9.3,117,26,3,5,37.50
