Name,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Nikita Kucherov,30,1,25,16,26,42,8,-1,1290,1050,239,0,10,6,0,2,0,12,14,0,3,0,22,20,0,5,0,47.6,1.786,2.902,4.687,1.371,1.645,3.016,3.608,8.420,12.028,0.640,1.040,1.680,123,13.0,13,9,0,2,0.00
David Pastrnak,27,1,24,14,22,36,12,8,1170,934,231,4,10,4,0,2,0,11,11,0,6,1,21,15,0,8,1,41.7,1.794,2.819,4.613,1.605,1.766,3.372,2.593,7.131,9.724,0.583,0.917,1.500,114,12.3,24,4,0,2,0.00
J.T. Miller,30,1,25,13,23,36,18,11,1200,842,250,108,6,6,1,2,0,13,10,0,4,1,19,16,1,6,1,44.4,1.559,2.758,4.317,1.026,2.223,3.249,3.453,5.754,9.207,0.520,0.920,1.440,56,23.2,52,19,270,228,54.22
Artemi Panarin,32,1,23,15,20,35,6,3,1167,974,192,0,12,3,0,1,0,9,11,0,6,1,21,14,0,7,1,40.0,2.011,2.681,4.692,1.927,1.445,3.372,2.440,8.947,11.387,0.652,0.870,1.522,89,16.9,1,3,0,3,0.00
Quinn Hughes,24,0,25,9,25,34,14,18,1486,1156,265,64,8,1,0,2,1,11,14,0,3,0,19,15,0,5,1,44.1,0.872,2.421,3.293,0.996,1.369,2.365,0.542,7.590,8.133,0.360,1.000,1.360,73,12.3,11,19,0,0,0.00
Cale Makar,25,0,23,7,27,34,10,18,1467,1008,269,190,4,3,0,0,0,14,10,3,3,0,18,13,3,3,0,38.2,0.747,2.879,3.626,0.621,2.173,2.794,1.744,5.815,7.559,0.304,1.174,1.478,57,12.3,12,40,0,0,0.00
Elias Pettersson,25,1,25,10,22,32,0,6,1191,813,263,114,6,4,0,3,0,12,9,1,0,0,18,13,1,3,0,40.6,1.209,2.660,3.868,1.062,2.125,3.187,2.190,4.928,7.118,0.400,0.880,1.280,57,17.5,32,18,148,143,50.86
Mikko Rantanen,27,1,24,12,19,31,16,7,1330,1029,299,1,9,3,0,4,0,10,9,0,0,0,19,12,0,4,0,38.7,1.353,2.142,3.495,1.312,1.457,2.769,1.502,4.506,6.008,0.500,0.792,1.292,74,16.2,11,13,63,57,52.50
Nathan MacKinnon,28,1,24,8,23,31,22,7,1341,1050,287,3,7,1,0,1,0,13,10,0,2,0,20,11,0,3,0,35.5,0.895,2.572,3.467,0.999,1.856,2.855,0.522,5.218,5.740,0.333,0.958,1.292,111,7.2,15,24,170,195,46.58
Brayden Point,27,1,26,12,18,30,4,-6,1212,987,224,1,6,6,0,4,0,11,7,0,3,0,17,13,0,7,0,43.3,1.370,2.055,3.425,0.841,1.542,2.384,3.705,4.322,8.027,0.462,0.692,1.154,73,16.4,5,13,113,142,44.31
Jack Hughes,22,1,17,9,21,30,6,0,1273,1053,216,3,6,3,0,1,1,10,11,0,2,1,16,14,0,3,2,46.7,1.497,3.492,4.989,1.206,2.010,3.216,2.938,10.773,13.711,0.529,1.235,1.765,81,11.1,4,6,67,119,36.02
Sam Reinhart,28,1,24,16,13,29,13,12,1238,889,221,128,8,7,1,4,1,11,2,0,3,0,19,9,1,7,1,31.0,1.937,1.574,3.511,1.350,1.856,3.205,4.735,1.353,6.088,0.667,0.542,1.208,60,26.7,12,28,76,92,45.24
William Nylander,27,1,22,12,17,29,4,1,1240,990,208,42,6,5,1,1,1,11,6,0,3,2,17,11,1,4,3,37.9,1.583,2.242,3.825,0.991,1.818,2.809,3.928,4.714,8.643,0.545,0.773,1.318,99,12.1,15,8,2,11,15.38
Leon Draisaitl,28,1,22,10,19,29,24,-2,1300,1018,220,62,3,7,0,1,0,12,6,1,4,0,15,13,1,5,0,44.8,1.258,2.391,3.649,0.482,1.929,2.411,5.199,4.456,9.655,0.455,0.864,1.318,68,14.7,12,5,248,194,56.11
Connor McDavid,26,1,20,8,21,29,14,-4,1302,1037,216,48,6,2,0,0,0,9,12,0,4,0,15,14,0,4,0,48.3,1.105,2.901,4.007,1.041,1.562,2.603,1.662,9.970,11.632,0.400,1.050,1.450,56,14.3,27,13,115,121,48.73
Brock Boeser,26,1,25,17,11,28,2,9,1125,864,259,1,9,8,0,2,0,9,2,0,2,1,18,10,0,4,1,35.7,2.175,1.407,3.582,1.498,1.498,2.997,4.438,1.110,5.548,0.680,0.440,1.120,67,25.4,15,8,1,5,16.67
Filip Forsberg,29,1,24,13,15,28,14,2,1164,912,251,1,12,1,0,1,1,7,8,0,2,0,19,9,0,3,1,32.1,1.674,1.932,3.606,1.973,1.151,3.124,0.597,4.778,5.375,0.542,0.625,1.167,97,13.4,41,8,4,3,57.14
Jack Eichel,27,1,26,11,17,28,6,3,1217,833,257,126,6,5,0,4,1,12,4,1,2,0,18,9,1,6,1,32.1,1.251,1.933,3.184,0.996,1.993,2.989,2.693,2.154,4.847,0.423,0.654,1.077,110,10.0,8,26,172,208,45.26
Jake Guentzel,29,1,24,9,19,28,8,9,1209,1007,196,5,9,0,0,2,0,16,3,0,1,0,25,3,0,3,0,10.7,1.116,2.356,3.473,1.340,2.382,3.722,0.000,2.288,2.288,0.375,0.792,1.167,79,11.4,15,9,2,8,20.00
